Date,Time_Start,Time_End,Location,Elephant_ID,Behavior,Duration,Food_Type,Heart_Rate,Weather_Condition,Is_Sleeping
01-01-2024,21:18,22:50,In lake,E022,Angry,1.7,No,123,Windy,No
01-01-2024,11:53,16:18,Grassland,E023,Eating,17.3,Yes,89,Cloudy,No
01-01-2024,09:35,13:07,near lake,E011,Eating,17.8,Yes,110,Windy,No
01-01-2024,01:22,02:35,Grassland,E013,Eating,17.3,Yes,91,Rain,No
01-01-2024,12:58,23:13,near lake,E020,Angry,1.7,No,132,Cloudy,No
01-01-2024,02:02,16:03,near lake,E029,Sleeping,5.9,No,105,Clear,Yes
01-01-2024,04:20,08:54,near lake,E010,Angry,1.1,No,137,Windy,No
01-01-2024,15:01,18:57,Forest Edge,E016,Angry,1.4,No,130,Clear,No
01-01-2024,08:40,15:25,Grassland,E028,Angry,1.2,No,146,Windy,No
01-01-2024,05:57,20:36,Grassland,E008,Angry,1.2,No,146,Windy,No
01-01-2024,02:03,09:56,Grassland,E020,Angry,1.9,No,140,Cloudy,No
01-01-2024,00:42,19:25,Forest Area,E026,Angry,1.2,No,141,Rain,No
01-01-2024,11:16,19:46,Forest Area,E027,Angry,1.1,No,137,Windy,No
01-01-2024,02:19,23:40,Forest Edge,E015,Eating,17.4,Yes,103,Cloudy,No
01-01-2024,11:58,12:22,Forest Edge,E001,Angry,1.7,No,143,Clear,No
01-01-2024,05:02,07:03,Grassland,E024,Angry,1.7,No,133,Clear,No
01-01-2024,07:24,21:04,Forest Area,E022,Angry,1.9,No,149,Clear,No
01-01-2024,18:14,21:54,In lake,E010,Angry,1.3,No,132,Windy,No
01-01-2024,00:08,06:44,near lake,E022,Sleeping,5.5,No,96,Cloudy,Yes
01-01-2024,14:13,17:42,Grassland,E022,Sleeping,5.7,No,93,Cloudy,Yes
01-01-2024,04:25,15:55,Grassland,E007,Sleeping,2.4,No,99,Clear,Yes
01-01-2024,02:34,20:29,Forest Edge,E015,Sleeping,4.3,No,97,Clear,Yes
01-01-2024,05:20,07:07,Forest Edge,E029,Sleeping,2.8,No,124,Cloudy,Yes
01-01-2024,16:33,20:52,near lake,E002,Sleeping,2.5,No,127,Cloudy,Yes
01-01-2024,01:10,07:57,Forest Edge,E001,Sleeping,3,No,92,Clear,Yes
01-01-2024,01:05,08:33,Forest Area,E018,Sleeping,3.2,No,94,Cloudy,Yes
01-01-2024,08:40,22:07,near lake,E003,Sleeping,4,No,118,Cloudy,Yes
01-01-2024,02:04,17:06,Forest Edge,E023,Angry,1.5,No,126,Clear,No
01-01-2024,21:30,21:41,Forest Edge,E025,Eating,17.6,Yes,81,Cloudy,No
01-01-2024,02:47,14:19,In lake,E001,Sleeping,5.7,No,99,Cloudy,Yes
01-01-2024,16:31,22:35,near lake,E005,Angry,2,No,132,Windy,No
01-01-2024,07:26,07:53,Forest Edge,E006,Eating,14.4,Yes,90,Cloudy,No
01-01-2024,14:06,20:25,Forest Area,E017,Angry,1.7,No,128,Windy,No
01-01-2024,09:21,10:42,near lake,E019,Eating,16.6,Yes,85,Clear,No
01-01-2024,02:50,09:55,Forest Area,E011,Eating,18,Yes,107,Clear,No
01-01-2024,21:29,22:48,near lake,E001,Eating,16,Yes,94,Cloudy,No
01-01-2024,00:08,11:25,Grassland,E011,Eating,15.2,Yes,87,Windy,No
01-01-2024,04:32,13:12,Forest Edge,E021,Eating,15.3,Yes,97,Cloudy,No
01-01-2024,08:09,18:19,In lake,E026,Eating,16.1,Yes,89,Clear,No
01-01-2024,15:30,20:47,In lake,E028,Sleeping,3,No,99,Clear,Yes
01-01-2024,02:49,07:08,near lake,E007,Eating,17.6,Yes,84,Rain,No
01-01-2024,10:31,14:38,Forest Area,E010,Eating,14.1,Yes,93,Cloudy,No
02-01-2024,13:41,17:25,Grassland,E015,Sleeping,3.5,No,104,Windy,Yes
02-01-2024,01:57,06:44,near lake,E023,Sleeping,4.3,No,96,Windy,Yes
02-01-2024,07:29,11:36,near lake,E021,Sleeping,4.7,No,106,Rain,Yes
02-01-2024,10:42,23:47,Forest Edge,E012,Sleeping,2.3,No,112,Windy,Yes
02-01-2024,09:24,10:18,Forest Edge,E015,Sleeping,3.9,No,119,Clear,Yes
02-01-2024,00:09,16:45,near lake,E009,Eating,16.6,Yes,103,Cloudy,No
02-01-2024,09:05,14:56,Forest Edge,E017,Sleeping,4.8,No,109,Rain,Yes
02-01-2024,05:49,15:28,Forest Edge,E025,Angry,1.3,No,129,Windy,No
02-01-2024,02:05,22:23,near lake,E021,Sleeping,3.7,No,126,Rain,Yes
02-01-2024,09:14,15:47,Forest Edge,E011,Sleeping,2.4,No,111,Rain,Yes
02-01-2024,08:14,14:18,Forest Edge,E014,Eating,16.5,Yes,85,Rain,No
02-01-2024,11:11,19:14,near lake,E025,Eating,14.3,Yes,82,Cloudy,No
02-01-2024,09:52,13:08,Forest Edge,E022,Sleeping,5.4,No,94,Clear,Yes
02-01-2024,16:04,21:37,Forest Edge,E016,Sleeping,2.4,No,93,Windy,Yes
02-01-2024,12:35,12:38,Forest Edge,E021,Sleeping,4.1,No,115,Clear,Yes
02-01-2024,06:57,14:20,Forest Area,E013,Angry,1.4,No,147,Cloudy,No
02-01-2024,07:56,11:15,In lake,E029,Angry,1.8,No,126,Clear,No
02-01-2024,04:06,22:38,Forest Area,E004,Angry,1,No,120,Windy,No
02-01-2024,15:36,21:23,Forest Edge,E019,Eating,17.9,Yes,80,Windy,No
02-01-2024,06:52,18:57,Grassland,E013,Eating,17.8,Yes,101,Cloudy,No
02-01-2024,14:47,22:22,In lake,E004,Eating,16.2,Yes,87,Clear,No
02-01-2024,03:24,15:33,Forest Area,E012,Eating,14.3,Yes,96,Cloudy,No
02-01-2024,08:42,13:03,near lake,E027,Eating,16.2,Yes,92,Clear,No
02-01-2024,00:38,05:43,Forest Edge,E016,Eating,15.3,Yes,110,Clear,No
02-01-2024,00:22,16:25,Forest Edge,E001,Angry,1.9,No,133,Clear,No
02-01-2024,16:20,17:59,Forest Area,E003,Angry,1.2,No,147,Clear,No
02-01-2024,08:34,18:00,Forest Edge,E022,Eating,16.5,Yes,86,Clear,No
02-01-2024,05:23,11:58,Grassland,E015,Angry,1.1,No,145,Clear,No
02-01-2024,13:42,21:20,Forest Edge,E022,Eating,15.1,Yes,105,Cloudy,No
02-01-2024,19:09,19:50,In lake,E010,Eating,17.4,Yes,81,Cloudy,No
02-01-2024,00:54,12:50,In lake,E016,Eating,17.5,Yes,98,Windy,No
02-01-2024,18:19,19:09,Forest Edge,E013,Angry,1.3,No,140,Windy,No
02-01-2024,11:07,14:36,In lake,E021,Eating,16.1,Yes,92,Rain,No
02-01-2024,10:57,17:57,Grassland,E021,Eating,16.4,Yes,84,Clear,No
02-01-2024,06:26,16:16,In lake,E014,Angry,1.4,No,138,Windy,No
02-01-2024,04:27,20:06,near lake,E018,Angry,1.6,No,124,Windy,No
02-01-2024,07:00,07:57,Forest Area,E011,Sleeping,2.8,No,109,Windy,Yes
02-01-2024,04:58,23:03,Forest Area,E011,Angry,1.7,No,133,Rain,No
03-01-2024,01:30,03:19,Forest Edge,E025,Eating,15.5,Yes,108,Cloudy,No
03-01-2024,00:14,09:36,In lake,E007,Angry,1.9,No,136,Rain,No
03-01-2024,18:36,23:00,Grassland,E018,Sleeping,2.9,No,102,Windy,Yes
03-01-2024,03:55,17:14,Forest Area,E019,Angry,1.3,No,137,Cloudy,No
03-01-2024,00:42,01:54,Forest Edge,E013,Sleeping,5.2,No,104,Rain,Yes
03-01-2024,20:59,23:50,near lake,E018,Angry,1.2,No,135,Windy,No
03-01-2024,22:02,22:54,Grassland,E006,Eating,17.2,Yes,88,Rain,No
03-01-2024,18:33,20:56,Grassland,E026,Angry,1.8,No,120,Rain,No
03-01-2024,00:31,06:02,In lake,E019,Sleeping,3,No,101,Clear,Yes
03-01-2024,19:16,22:34,Grassland,E026,Sleeping,5.8,No,90,Windy,Yes
03-01-2024,06:24,19:01,Forest Area,E021,Eating,14.2,Yes,95,Cloudy,No
03-01-2024,11:03,15:13,Grassland,E019,Sleeping,5,No,105,Windy,Yes
03-01-2024,16:18,21:05,Forest Edge,E019,Sleeping,5.3,No,120,Cloudy,Yes
03-01-2024,11:51,18:26,Grassland,E029,Sleeping,4.9,No,125,Windy,Yes
